Discrete Fourier Transform of sunspots

  k         Re(c_k)          Im(c_k)     
  754      -555.845276      -764.934143
  755      -864.808105      -239.628311
  756      1028.547607       -55.623837
  757       602.317200       -19.832924
  758       -56.865494       -84.167679
  759       651.445068      -103.778343
  760      -921.809265       368.539948
  761        77.885445       142.735397
  762      -838.532776       -86.202621
  763      -264.196716      -695.685059
  764        18.222088      -208.870148
  765      -337.752533       351.501343
  766       311.423523       106.842056
  767       709.717651      -410.047852
  768      -206.196518      -111.121941
  769      -623.204590      -720.490540
  770      -962.239319         7.705682
  771       341.200012       -91.898842
  772      -581.048889      -291.618866
  773      -418.659302      -142.459427
  774      -114.563553      -855.381226
  775      -106.838158        68.942375
  776      -229.647675      -492.500702
  777       425.179749       282.473022
  778       -22.505209       459.653229
  779      -660.297852     -1280.670532
  780      -168.352646       401.464325
  781     -1033.380005       848.592346
  782      1192.495850        79.703217
  783      1272.346313       -58.931641
  784       219.569214      -604.144653
  785      -192.652527       274.760193
  786      -217.693832        82.505501
  787        83.597603       754.678711
  788       236.425079      -107.441277
  789      -306.335999      -726.325684
  790       -83.191086      -844.365295
  791       473.473358        24.680182
  792        91.651840      -871.174133
  793       359.173981       251.069733
  794      -122.760597      -189.403854
  795      -554.839478       379.359070
  796      -116.358162       233.185104
  797        57.345024       401.924927
  798       231.409531      -885.845520
  799       185.333755      -188.503296
  800       556.457703        59.350983
  801      -238.476608      -338.279175
  802      -270.409180      -548.556091
  803       740.891235       -97.885208
  804      -783.130737       287.895630
  805       246.060974       129.095474
  806       415.267151       214.333725
  807       -45.735416       -27.345713
  808        78.586449       311.199097
  809       441.169708      -687.264221
  810      -588.154480      -335.952148
  811      -296.718628        83.426064
  812        96.203949      1213.788818
  813       545.597961      -335.440979
  814       584.472107       166.816605
  815       169.312805       -76.306046
  816       532.885803         1.301464
  817      -227.323792      -385.061859
  818       789.223816      -577.513977
  819      -625.654053        -4.047868
  820      -952.838379       566.090027
  821      -973.639343        51.712036
  822        59.007179       989.547363
  823        38.748840       559.229065
  824      -211.349777       188.213089
  825       568.104004      -124.282623
  826      -385.419617       150.797714
  827      -404.830719       329.928711
  828       277.935394       441.662659
  829       191.306763      -207.468063
  830      -399.365662      -463.455017
  831       748.409485       223.457489
  832      -206.888275       176.809555
  833       933.378540      -831.349609
  834       -97.430305      -345.647095
  835      -850.138062      -596.401855
  836     -1724.281860      -413.111359
  837      -189.146866       340.785217
  838       557.241394      -465.976868
  839      -485.073273       -58.112999
  840       813.846008      -248.927628
  841       256.839569      -143.679932
  842      -492.932556       738.696716
  843     -1020.601563      -771.097656
  844     -1069.589722       -61.050533
  845      -722.542114       497.750366
  846      -290.637848      -646.441711
  847     -1059.508423       -12.210027
  848        93.094666       437.171021
  849       181.628937       242.169525
  850       -31.659155        10.082028
  851       578.262207       125.258041
  852      -464.637909        74.777428
  853       190.362137       985.539124
  854      1332.361572       -60.583614
  855       386.679688       380.319305
  856      -322.067780      -694.336670
  857       319.567474      1166.199341
  858      -287.307922      -201.382523
  859       567.546448      -205.340744
  860       334.725281      -746.828064
  861       -22.792547      -630.451111
  862      -320.314972       226.426025
  863       485.061218      -418.835266
  864        22.308670      -177.191483
  865       499.997131       389.519470
  866       518.258606      -360.409058
  867      -207.694092      -524.524841
  868       351.079437       265.240356
  869      -521.408752     -1207.783569
  870      -996.372681       -61.031902
  871      -382.582214      -937.626831
  872      -543.647217      -999.479553
  873      -507.074615       346.163300
  874       442.874023      -643.950378
  875       258.844574         9.076584
  876       240.582962       328.209412
  877       500.665771       -35.922428
  878      -315.495697       277.991760
  879       224.244934       100.664841
  880       766.075928      -578.560852
  881       -43.158089       265.002136
  882       204.193893        56.217438
  883      -244.885956       222.582352
  884      -345.630920       -27.848055
  885      -586.893677       321.498505
  886       -80.294151       344.081421
  887       745.607422      -385.517303
  888       331.743286       897.956299
  889       320.026031        30.819906
  890      -107.577393       890.117432
  891       525.366516       536.842590
  892      -173.796616       346.339111
  893       321.112549      -182.216248
  894       449.999695      -769.304626
  895       145.287476      -791.592041
  896      -188.293518       -14.697887
  897        88.459427      -338.472687
  898      -156.295197       665.270935
  899        25.096918       668.937988
  900       450.928101      -383.236206
  901       268.340729       809.686951
  902       577.995178       468.922516
  903       360.770294      -111.834473
  904       235.634354       -40.573982
  905       -28.309853        45.650837
  906        -4.057088      -279.929626
  907       334.821075       131.883057
  908      -292.427155       236.832001
  909      -316.729034       218.662811
  910      -519.663635       439.458466
  911      -539.799438       882.920776
  912      -395.457031       383.956299
  913       990.044678       119.698334
  914       114.698753      -448.093964
  915      -271.483398       186.832947
  916       586.073547       409.696167
  917       367.550934       259.250366
  918       256.359528       307.065979
  919         6.781044       255.786530
  920       246.033493      -267.500336
  921       374.108124       195.054733
  922      -109.586143      -657.659302
  923      -549.360229      -109.174164
  924      -931.148560       345.903625
  925      -553.006775       -12.510990
  926      -729.505066      -498.794525
  927      -483.625793       830.430664
  928       148.518158      -759.650818
  929       618.978943       -67.785706
  930       228.932053       -30.977631
  931       199.507523      -174.955032
  932      -359.873566      -321.113617
  933       126.348145       287.228729
  934      -497.610535      -489.977142
  935      -622.257263       264.330750
  936      -656.366028      1113.280029
  937      -881.183105       371.143860
  938       -23.409689       184.524536
  939        34.611782      -626.353516
  940      -379.865112      -301.810974
  941       154.096725       575.894775
  942       928.735657       156.837006
  943      -133.104828       621.166016
  944      -119.925224       247.038315
  945      -271.716003       303.582642
  946       528.702271      -346.649506
  947       300.771271       909.033752
  948       -46.057404      -345.525513
  949     -1155.192627       527.939758
  950        75.589928       490.738403
  951      -757.066467      -685.394287
  952       113.329964      -535.206116
  953        38.127998      -378.244141
  954       411.460175      -513.223938
  955       154.461136       923.243713
  956       387.525757       193.679031
  957       227.402618       367.200287
  958      -783.789490       132.610245
  959       388.196381       291.974304
  960     -1131.868408        82.012154
