Correlation function xi(r) calculated from lcdm_z0.matter_pk within r = [0.000000, 120.000000]

r : scale; xi_1 : integral between 0 and k_min; xi_2 : integral within data range; xi_3 : integral from k_max to +INF

    r        xi_1         xi_2         xi_3          xi       r^2*xi_2      r^2*xi
  0.00 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000
 19.60 8.354773e-012 1.479407e-001 1.491705e-004 1.480899e-001 5.683292e+001 5.689022e+001
 19.70 8.354773e-012 1.467033e-001 -2.586560e-004 1.464447e-001 5.693409e+001 5.683371e+001
 19.80 8.354773e-012 1.452426e-001 -4.226943e-004 1.448199e-001 5.694091e+001 5.677520e+001
 19.90 8.354773e-012 1.434092e-001 -1.982464e-004 1.432110e-001 5.679149e+001 5.671298e+001
 20.00 8.354773e-012 1.414164e-001 2.025594e-004 1.416190e-001 5.656655e+001 5.664758e+001
 20.10 8.354773e-012 1.396384e-001 4.109932e-004 1.400494e-001 5.641531e+001 5.658135e+001
 20.20 8.354776e-012 1.382662e-001 2.407591e-004 1.385070e-001 5.641816e+001 5.651640e+001
 20.30 8.354776e-012 1.371377e-001 -1.457319e-004 1.369920e-001 5.651308e+001 5.645303e+001
 20.40 8.354776e-012 1.358906e-001 -3.920778e-004 1.354986e-001 5.655224e+001 5.638908e+001
 20.50 8.354776e-012 1.342972e-001 -2.763168e-004 1.340209e-001 5.643838e+001 5.632226e+001
 20.60 8.354776e-012 1.324674e-001 8.923563e-005 1.325567e-001 5.621389e+001 5.625176e+001
 20.70 8.354776e-012 1.307429e-001 3.666568e-004 1.311095e-001 5.602201e+001 5.617912e+001
 20.80 8.354776e-012 1.293808e-001 3.046539e-004 1.296854e-001 5.597529e+001 5.610709e+001
 20.90 8.354776e-012 1.283206e-001 -3.403940e-005 1.282865e-001 5.605171e+001 5.603684e+001
 21.00 8.354776e-012 1.272458e-001 -3.355560e-004 1.269103e-001 5.611541e+001 5.596743e+001
 21.10 8.354776e-012 1.258761e-001 -3.256416e-004 1.255505e-001 5.604131e+001 5.589634e+001
 21.20 8.354776e-012 1.242215e-001 -1.891163e-005 1.242026e-001 5.583012e+001 5.582162e+001
 21.30 8.354776e-012 1.225684e-001 2.996123e-004 1.228680e-001 5.560804e+001 5.574397e+001
 21.40 8.354776e-012 1.212120e-001 3.392718e-004 1.215513e-001 5.551024e+001 5.566561e+001
 21.50 8.354776e-012 1.201882e-001 6.879160e-005 1.202570e-001 5.555699e+001 5.558879e+001
 21.60 8.354776e-012 1.192449e-001 -2.597215e-004 1.189852e-001 5.563489e+001 5.551372e+001
 21.70 8.354772e-012 1.180766e-001 -3.456578e-004 1.177309e-001 5.560109e+001 5.543833e+001
 21.80 8.354772e-012 1.166037e-001 -1.148397e-004 1.164889e-001 5.541474e+001 5.536016e+001
 21.90 8.354772e-012 1.150405e-001 2.167843e-004 1.152573e-001 5.517456e+001 5.527853e+001
 22.00 8.354772e-012 1.136942e-001 3.450286e-004 1.140392e-001 5.502799e+001 5.519498e+001
 22.10 8.354772e-012 1.126835e-001 1.563841e-004 1.128399e-001 5.503575e+001 5.511213e+001
 22.20 8.354772e-012 1.118335e-001 -1.717441e-004 1.116617e-001 5.511602e+001 5.503138e+001
 22.30 8.354772e-012 1.108397e-001 -3.377295e-004 1.105020e-001 5.511948e+001 5.495153e+001
 22.40 8.354772e-012 1.095483e-001 -1.928898e-004 1.093554e-001 5.496697e+001 5.487019e+001
 22.50 8.354772e-012 1.080927e-001 1.255124e-004 1.082182e-001 5.472191e+001 5.478545e+001
 22.60 8.354772e-012 1.067670e-001 3.241921e-004 1.070912e-001 5.453231e+001 5.469790e+001
 22.70 8.354776e-012 1.057550e-001 2.238968e-004 1.059789e-001 5.449449e+001 5.460986e+001
 22.80 8.354776e-012 1.049642e-001 -7.900804e-005 1.048852e-001 5.456457e+001 5.452350e+001
 22.90 8.354776e-012 1.041149e-001 -3.049477e-004 1.038100e-001 5.459891e+001 5.443900e+001
 23.00 8.354776e-012 1.029983e-001 -2.490666e-004 1.027492e-001 5.448609e+001 5.435433e+001
 23.10 8.354776e-012 1.016650e-001 3.311967e-005 1.016982e-001 5.424948e+001 5.426715e+001
 23.20 8.354776e-012 1.003745e-001 2.805991e-004 1.006551e-001 5.402558e+001 5.417661e+001
 23.30 8.354776e-012 9.935483e-002 2.681906e-004 9.962302e-002 5.393874e+001 5.408434e+001
 23.40 8.354776e-012 9.859498e-002 1.133125e-005 9.860631e-002 5.398666e+001 5.399287e+001
 23.50 8.354776e-012 9.785903e-002 -2.518330e-004 9.760720e-002 5.404265e+001 5.390358e+001
 23.60 8.354776e-012 9.690464e-002 -2.811551e-004 9.662348e-002 5.397201e+001 5.381542e+001
 23.70 8.354776e-012 9.570400e-002 -5.355082e-005 9.565046e-002 5.375599e+001 5.372591e+001
 23.80 8.354776e-012 9.446538e-002 2.193721e-004 9.468476e-002 5.350897e+001 5.363323e+001
 23.90 8.354772e-012 9.343904e-002 2.879718e-004 9.372701e-002 5.337331e+001 5.353781e+001
 24.00 8.354772e-012 9.268831e-002 9.283488e-005 9.278115e-002 5.338847e+001 5.344194e+001
 24.10 8.354772e-012 9.203506e-002 -1.839961e-004 9.185106e-002 5.345489e+001 5.334802e+001
 24.20 8.354772e-012 9.122521e-002 -2.887601e-004 9.093644e-002 5.342513e+001 5.325602e+001
