Gradient descent of (x-2)^2+(y-2)^2

gamma = 1.000000e-002, epsilon = 1.000000e-007

      x            y          f(x,y)     
1.999969e+000 1.999985e+000 1.164153e-009
1.999970e+000 1.999985e+000 1.117343e-009
1.999971e+000 1.999985e+000 1.071498e-009
1.999971e+000 1.999986e+000 1.030017e-009
1.999972e+000 1.999986e+000 9.893597e-010
1.999972e+000 1.999986e+000 9.495267e-010
1.999973e+000 1.999986e+000 9.105179e-010
1.999974e+000 1.999987e+000 8.723333e-010
1.999974e+000 1.999987e+000 8.411263e-010
1.999975e+000 1.999987e+000 8.104877e-010
1.999975e+000 1.999987e+000 7.804175e-010
1.999976e+000 1.999988e+000 7.509158e-010
1.999976e+000 1.999988e+000 7.219825e-010
1.999977e+000 1.999988e+000 6.936176e-010
1.999977e+000 1.999988e+000 6.658212e-010
1.999977e+000 1.999989e+000 6.385932e-010
1.999978e+000 1.999989e+000 6.119336e-010
1.999978e+000 1.999989e+000 5.858425e-010
1.999979e+000 1.999989e+000 5.603198e-010
1.999979e+000 1.999990e+000 5.353655e-010
1.999980e+000 1.999990e+000 5.157972e-010
